No.,Manager,GP,Wins,Draws,Losses,GF,GA,GD,First Match,Last,Match,Link
1,NISHIDA Masujiro,2,0,0,2,2,7,-5,1923-05-23,1923/0523.html,1923-05-24,1923/0524.html
2,YAMADA Goro,2,0,0,2,0,6,-6,1925-05-17,1925/0517.html,1925-05-20,1925/0520.html
3,Vacant,2,1,0,1,3,6,-3,1927-08-27,1927/0827.html,1927-08-29,1927/0829.html
4,SUZUKI Shigeyoshi,2,1,1,0,10,5,+5,1930-05-25,1930/0525.html,1930-05-29,1930/0529.html
5,TAKENOKOSHI Shigemaru,3,1,0,2,8,14,-6,1934-05-13,1934/0513.html,1934-05-20,1934/0520.html
6,SUZUKI Shigeyoshi,2,1,0,1,3,10,-7,1936-08-04,1936/0804.html,1936-08-07,1936/0807.html
7,TAKENOKOSHI Shigemaru,1,1,0,0,1,0,+1,1940-06-16,1940/0616.html,1940-06-16,1940/0616.html
8,NINOMIYA Hirokazu,3,1,1,1,4,3,+1,1951-03-07,1951/0307.html,1951-03-09,1951/0309.html
9,TAKENOKOSHI Shigemaru,12,2,4,6,13,24,-11,1954-03-07,1954/0307.html,1956-11-27,1956/1127.html
10,KAWAMOTO Taizo,2,0,0,2,0,3,-3,1958-05-26,1958/0526.html,1958-05-28,1958/0528.html
11,TAKENOKOSHI Shigemaru,12,4,2,6,22,29,-7,1958-12-25,1958/1225.html,1959-12-20,1959/1220.html
12,Vacant,1,0,0,1,1,2,-1,1960-11-06,1960/1106.html,1960-11-06,1960/1106.html
13,TAKAHASHI Hidetoki,14,3,2,9,18,26,-8,1961-05-28,1961/0528.html,1962-09-21,1962/0921.html
14,NAGANUMA Ken,31,18,7,6,83,40,+43,1963-08-08,1963/0808.html,1969-10-18,1969/1018.html
15,OKANO Shunichiro,19,11,2,6,39,23,+16,1970-07-31,1970/0731.html,1971-10-02,1971/1002.html
16,NAGANUMA Ken,42,16,6,20,66,60,+6,1972-07-12,1972/0712.html,1976-04-11,1976/0411.html
17,NINOMIYA Hiroshi,27,6,6,15,39,48,-9,1976-08-08,1976/0808.html,1978-12-15,1978/1215.html
18,SHIMOMURA Yukio,14,8,4,2,30,13,+17,1979-03-04,1979/0304.html,1980-04-02,1980/0402.html
19,WATANABE Masashi,3,2,0,1,5,2,+3,1980-06-09,1980/0609.html,1980-06-18,1980/0618.html
20,KAWABUCHI Saburo,10,3,2,5,6,7,-1,1980-12-22,1980/1222.html,1981-03-08,1981/0308.html
21,MORI Takaji,43,22,5,16,80,53,+27,1981-06-02,1981/0602.html,1985-11-03,1985/1103.html
22,ISHII Yoshinobu,17,11,2,4,37,12,+25,1986-07-25,1986/0725.html,1987-10-26,1987/1026.html
23,YOKOYAMA Kenzo,24,5,7,12,19,25,-6,1988-01-27,1988/0127.html,1991-07-27,1991/0727.html
24,Hans OOFT (NED),27,16,7,4,53,16,+37,1992-05-31,1992/0531.html,1993-10-28,1993/1028.html
25,Paulo Roberto FALCAO (BRA),9,3,4,2,16,13,+3,1994-05-22,1994/0522.html,1994-10-11,1994/1011.html
26,KAMO Shu,46,23,10,13,97,62,+35,1995-01-06,1995/0106.html,1997-10-04,1997/1004.html
27,OKADA Takeshi,15,5,4,6,20,16,+4,1997-10-11,1997/1011.html,1998-06-26,1998/0626.html
28,Philippe TROUSSIER (FRA),50,23,16,11,83,47,+36,1998-10-28,1998/1028.html,2002-06-18,2002/0618.html
29,ZICO (BRA),72,37,16,19,114,70,+44,2002-10-16,2002/1016.html,2006-06-22,2006/0622.html
30,Ivica OSIM (BIH),20,13,5,3,36,14,+22,2006-08-09,2006/0809.html,2007-10-17,2007/1017.html
31,OKADA Takeshi,50,26,13,11,85,41,+44,2008-01-26,2008/0126.html,2010-06-29,2010/0629.html
32,Vacant,2,2,0,0,3,1,+2,2010-09-04,2010/0904.html,2010-09-07,2010/0907.html
33,Alberto ZACCHERONI (ITA),55,30,12,13,101,62,+39,2010-10-08,2010/1008.html,2014-06-24,2014/0624.html
34,Javier AGUIRRE (MEX),10,6,2,2,19,10,+9,2014-09-05,2014/0905.html,2015-01-23,2015/0123.html
35,Vahid HALILHODZIC (BIH),2,2,0,0,7,1,+6,2015-03-27,2015/0327.html,2015-03-31,2015/0331.html
