Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,90,1,1,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,270,3,3,0,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,293,4,3,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
KAWANO Junji,../players/kawano_junji.html,Toyo Kogyo,12,1,0,0,0,0,0
KIKUGAWA Yoshio,../players/kikugawa_yoshio.html,Mitsubishi Heavy Industries,157,2,2,0,0,0,0
KIMURA Takeo,../players/kimura_takeo.html,Furukawa Electric,?,1,0,0,0,0,0
KUNIEDA Tsuyoshi,../players/kunieda_tsuyoshi.html,Toyo Kogyo,180,2,2,0,0,0,0
KUWAHARA Yasuyuki,../players/kuwahara_yasuyuki.html,Toyo Kogyo,348,4,4,1,0,0,0
MATSUMOTO Ikuo,../players/matsumoto_ikuo.html,Toyo Kogyo,168,2,2,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,?,2,0,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,270,3,3,2,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,270+?,4,4,0,0,0,0
ONISHI Tadao,../players/onishi_tadao.html,Mitsubishi Heavy Industries,90,1,1,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,102+?,3,2,1,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi,360,4,4,0,0,0,0
YUGUCHI Eizo,../players/yuguchi_eizo.html,Yanmar,?,1,1,0,0,0,0
