Year,Link,GP,Wins,Draws,Losses,GF,GA,GD,Manager(s)
1923,1923/index.html,2,0,0,2,2,7,-5,NISHIDA Masujiro
1925,1925/index.html,2,0,0,2,0,6,-6,YAMADA Goro
1927,1927/index.html,2,1,0,1,3,6,-3,Vacant
1930,1930/index.html,2,1,1,0,10,5,+5,SUZUKI Shigeyoshi
1934,1934/index.html,3,1,0,2,8,14,-6,TAKENOKOSHI Shigemaru
1936,1936/index.html,2,1,0,1,3,10,-7,SUZUKI Shigeyoshi
1940,1940/index.html,1,1,0,0,1,0,+1,TAKENOKOSHI Shigemaru
1951,1951/index.html,3,1,1,1,4,3,+1,NINOMIYA Hirokazu
1954,1954/index.html,4,0,1,3,8,15,-7,TAKENOKOSHI Shigemaru
1955,1955/index.html,5,1,3,1,3,5,-2,TAKENOKOSHI Shigemaru
1956,1956/index.html,3,1,0,2,2,4,-2,TAKENOKOSHI Shigemaru
1958,1958/index.html,4,0,0,4,4,14,-10,KAWAMOTO/TAKENOKOSHI
1959,1959/index.html,10,4,2,4,18,18,0,TAKENOKOSHI Shigemaru
1960,1960/index.html,1,0,0,1,1,2,-1,Vacant
1961,1961/index.html,7,2,0,5,10,14,-4,TAKAHASHI Hidetoki
1962,1962/index.html,7,1,2,4,8,12,-4,TAKAHASHI Hidetoki
1963,1963/index.html,5,3,1,1,14,8,+6,NAGANUMA Ken
1964,1964/index.html,2,1,0,1,4,4,0,NAGANUMA Ken
1965,1965/index.html,4,2,2,0,8,4,+4,NAGANUMA Ken
1966,1966/index.html,7,6,0,1,18,5,+13,NAGANUMA Ken
1967,1967/index.html,5,4,1,0,26,4,+22,NAGANUMA Ken
1968,1968/index.html,4,2,1,1,9,7,+2,NAGANUMA Ken
1969,1969/index.html,4,0,2,2,4,8,-4,NAGANUMA Ken
1970,1970/index.html,13,8,2,3,21,13,+8,OKANO Shunichiro
1971,1971/index.html,6,3,0,3,18,10,+8,OKANO Shunichiro
1972,1972/index.html,8,4,1,3,21,12,+9,NAGANUMA Ken
1973,1973/index.html,5,1,0,4,5,6,-1,NAGANUMA Ken
1974,1974/index.html,7,3,2,2,11,9,+2,NAGANUMA Ken
1975,1975/index.html,13,6,1,6,18,15,+3,NAGANUMA Ken
1976,1976/index.html,17,4,6,7,29,29,0,NAGANUMA/NINOMIYA H
1977,1977/index.html,5,0,1,4,1,7,-6,NINOMIYA Hiroshi
1978,1978/index.html,14,4,1,9,20,30,-10,NINOMIYA Hiroshi
1979,1979/index.html,9,5,3,1,14,8,+6,SHIMOMURA Yukio
1980,1980/index.html,12,7,1,4,25,9,+16,SHIMOMURA/WATANABE/KAWABUCHI
1981,1981/index.html,14,6,3,5,14,13,+1,KAWABUCHI/MORI
1982,1982/index.html,8,4,0,4,9,13,-4,MORI Takaji
1983,1983/index.html,10,4,3,3,25,10,+15,MORI Takaji
1984,1984/index.html,7,3,0,4,15,13,+2,MORI Takaji
1985,1985/index.html,10,6,1,3,19,9,+10,ISHII Yoshinobu
1986,1986/index.html,6,3,0,3,12,7,+5,ISHII Yoshinobu
1987,1987/index.html,11,8,2,1,25,5,+20,ISHII Yoshinobu
1988,1988/index.html,5,0,2,3,2,8,-6,YOKOYAMA Kenzo
1989,1989/index.html,11,3,5,3,13,9,+4,YOKOYAMA Kenzo
1990,1990/index.html,6,1,0,5,3,7,-4,YOKOYAMA Kenzo
1991,1991/index.html,2,1,0,1,1,1,0,YOKOYAMA Kenzo
1992,1992/index.html,11,5,4,2,14,8,+6,Hans OOFT (NED)
1993,1993/index.html,16,11,3,2,39,8,+31,Hans OOFT (NED)
1994,1994/index.html,9,3,4,2,16,13,+3,Paulo Roberto FALCAO (BRA)
1995,1995/index.html,16,5,4,7,22,30,-8,KAMO Shu
1996,1996/index.html,13,10,1,2,28,13,+15,KAMO Shu
1997,1997/index.html,22,11,7,4,59,24,+35,KAMO/OKADA
1998,1998/index.html,11,3,2,6,9,11,-2,OKADA/TROUSSIER (FRA)
1999,1999/index.html,7,0,4,3,4,11,-7,Philippe TROUSSIER (FRA)
2000,2000/index.html,18,11,5,2,49,13,+36,Philippe TROUSSIER (FRA)
2001,2001/index.html,13,6,3,4,15,12,+3,Philippe TROUSSIER (FRA)
2002,2002/index.html,13,5,5,3,15,14,+1,TROUSSIER (FRA)/ZICO (BRA)
2003,2003/index.html,16,6,5,5,16,12,+4,ZICO (BRA)
2004,2004/index.html,22,16,3,3,47,19,+28,ZICO (BRA)
2005,2005/index.html,20,11,3,6,31,20,+11,ZICO (BRA)
2006,2006/index.html,19,9,4,6,30,19,+11,ZICO (BRA)/OSIM (BIH)
2007,2007/index.html,13,7,5,1,25,11,+14,Ivica OSIM (BIH)
2008,2008/index.html,19,10,7,2,31,13,+18,OKADA Takeshi
2009,2009/index.html,17,11,3,3,40,12,+28,OKADA Takeshi
2010,2010/index.html,18,8,4,6,18,17,+1,OKADA/Vacant/ZACCHERONI (ITA)
2011,2011/index.html,15,9,5,1,32,8,+24,Alberto ZACCHERONI (ITA)
2012,2012/index.html,12,8,2,2,21,9,+12,Alberto ZACCHERONI (ITA)
2013,2013/index.html,19,8,3,8,33,32,+1,Alberto ZACCHERONI (ITA)
2014,2014/index.html,13,7,2,4,25,21,+4,ZACCHERONI (ITA)/AGUIRRE (MEX)
2015,2015/index.html,6,5,1,0,15,2,+13,AGUIRRE (MEX)/HALILHODZIC (BIH)
